compound_id|flavor_id|flavor_name
82|123|bitter
358|93|alcohol
358|105|medicinal
358|209|phenol
358|224|smoke
358|229|spice
358|371|castoreum
358|519|guaiacol
358|675|phenolic
371|643|odorless
373|30|lavender
373|37|balsam
373|44|sweet
373|71|banana
373|81|fruity
373|162|fresh
373|529|heliotrope
373|551|jasmin
373|709|ripe
411|34|rose
411|59|green
411|69|apple
411|81|fruity
411|85|pineapple
411|164|fruit
411|328|blueberry
412|25|geranium
412|34|rose
412|81|fruity
412|848|waxy
416|12|sage
416|33|floral
416|34|rose
416|48|melon
416|50|citrus
416|81|fruity
416|123|bitter
416|317|bergamot
416|791|sweaty
423|48|melon
423|59|green
423|81|fruity
423|302|banana skin
423|472|fermented
423|482|fleshy
433|57|meaty
433|410|cooked
433|448|dirty
433|610|mild
433|675|phenolic
433|734|rubbery
446|643|odorless
447|123|bitter
449|104|pepper
449|112|animal
453|123|bitter
455|123|bitter
465|643|odorless
474|643|odorless
477|33|floral
477|44|sweet
477|54|woody
484|643|odorless
499|2|corn
499|6|potato
499|7|tomato
499|17|oily
499|68|earthy
499|98|nutty
499|211|popcorn
499|385|chip
515|643|odorless
556|643|odorless
557|643|odorless
567|643|odorless
570|643|odorless
577|10|fennel
577|17|oily
577|81|fruity
577|531|herbal
577|610|mild
604|123|bitter
619|69|apple
619|70|apricot
619|81|fruity
619|709|ripe
619|814|tropical
624|123|bitter
633|123|bitter
655|123|bitter
678|123|bitter
683|123|bitter
700|14|cheese
700|15|creamy
700|18|fatty
700|75|coconut
700|199|oil
700|848|waxy
701|18|fatty
701|75|coconut
701|110|soapy
701|142|cognac
701|848|waxy
706|57|meaty
706|67|musty
706|95|sulfurous
706|98|nutty
707|59|green
707|94|plastic
707|119|balsamic
707|314|benzophenone
707|404|clean
708|21|spicy
708|67|musty
708|190|mint
708|413|cool
708|603|mentholic
718|2|corn
718|44|sweet
718|67|musty
718|68|earthy
718|98|nutty
718|140|cocoa
718|566|leather
724|95|sulfurous
727|165|garlic
727|200|onion
727|499|gassy
727|514|greasy
727|709|ripe
728|44|sweet
728|59|green
728|69|apple
728|81|fruity
729|39|caramel
729|44|sweet
729|531|herbal
734|57|meaty
734|95|sulfurous
734|133|cabbage
734|200|onion
734|273|alliaceous
735|5|vegetable
735|165|garlic
735|790|sulfury
736|59|green
736|93|alcohol
736|434|dairy
736|675|phenolic
738|323|bland
739|81|fruity
739|178|licorice
739|213|pungent
744|18|fatty
744|33|floral
744|34|rose
744|50|citrus
744|68|earthy
744|110|soapy
744|495|fungal
744|848|waxy
747|643|odorless
748|643|odorless
751|81|fruity
751|123|bitter
751|404|clean
751|610|mild
751|814|tropical
753|44|sweet
753|269|alcoholic
753|460|ethereal
753|600|medical
753|785|strong
756|643|odorless
757|114|alkane
757|166|gasoline
758|114|alkane
758|166|gasoline
763|81|fruity
763|105|medicinal
763|213|pungent
764|17|oily
764|18|fatty
764|66|mushroom
764|123|bitter
764|165|garlic
764|381|cheesy
765|114|alkane
768|114|alkane
774|21|spicy
774|39|caramel
774|44|sweet
774|54|woody
774|453|dry
775|21|spicy
776|17|oily
776|20|coumarin
776|44|sweet
776|98|nutty
776|102|tobacco
776|226|solvent
776|812|tonka
784|643|odorless
787|643|odorless
790|123|bitter
802|18|fatty
802|112|animal
803|4|horseradish
803|95|sulfurous
803|141|coffee
803|165|garlic
803|190|mint
803|200|onion
803|223|sharp
803|273|alliaceous
804|57|meaty
804|95|sulfurous
804|165|garlic
804|200|onion
804|221|rubber
804|456|egg
806|74|cherry
807|44|sweet
807|74|cherry
807|81|fruity
807|313|benzaldehyde
807|675|phenolic
808|74|cherry
808|81|fruity
808|441|deep
808|675|phenolic
809|44|sweet
809|59|green
809|162|fresh
809|179|lilac
809|415|cortex
809|630|narcissus
810|21|spicy
810|41|cinnamon
812|9|clove
812|21|spicy
812|50|citrus
812|166|gasoline
812|210|pine
812|519|guaiacol
812|675|phenolic
812|787|styrene
816|135|camphor
816|334|borneol
822|44|sweet
822|54|woody
822|94|plastic
822|610|mild
822|812|tonka
826|20|coumarin
826|33|floral
826|44|sweet
826|50|citrus
826|74|cherry
826|81|fruity
826|135|camphor
826|195|must
838|15|creamy
838|40|chocolate
838|44|sweet
838|45|vanilla
839|15|creamy
839|44|sweet
839|45|vanilla
839|530|heliotropin
839|684|powdery
840|45|vanilla
840|123|bitter
840|835|very mild
841|15|creamy
841|39|caramel
841|44|sweet
841|45|vanilla
842|610|mild
842|675|phenolic
846|15|creamy
846|44|sweet
846|45|vanilla
846|306|bean
846|434|dairy
846|613|milky
846|684|powdery
847|119|balsamic
847|610|mild
847|675|phenolic
855|10|fennel
855|44|sweet
855|59|green
855|123|bitter
855|635|new mown hay
856|75|coconut
856|81|fruity
856|97|hazelnut
856|198|nutmeg
856|252|acid
856|633|neroli
857|9|clove
857|21|spicy
857|99|peanut
857|108|smoky
857|151|curry
865|39|caramel
865|54|woody
865|105|medicinal
865|224|smoke
865|229|spice
865|464|eugenol
865|675|phenolic
865|718|root
871|33|floral
871|44|sweet
